id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,stream_type
11,0,10.1.236.123,34:6f:24:1a:a7:41,34:6f:24,59324,74.125.169.199,00:08:e3:ff:fd:90,00:08:e3,443,17,4,0,0,1675182255764,1675182276160,20396,2740,3186056,1675182255764,1675182276160,20396,281,24798,1675182255781,1675182276143,20362,2459,3161258,68,1162.7941605839378,373.6665990406634,1292,75,88.2491103202847,107.99838891453064,1010,68,1285.5868239121603,84.71236503430265,1292,0,7.446513326031392,260.9065927708212,12574,0,72.84285714285708,814.8256384624569,12574,0,8.283970707892612,275.8857772029204,12590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,1
18,0,2409:4072:8e98:ca18:7cc9:b15d:73cf:6d35,34:6f:24:1a:a7:41,34:6f:24,65325,2405:200:1630:ff14::12,06:b7:2d:d4:46:ec,06:b7:2d,443,17,6,0,0,1675326331490,1675326334150,2660,1146,1287843,1675326331490,1675326334147,2657,159,18178,1675326331655,1675326334150,2495,987,1269665,87,1123.772251308898,414.3994587400066,1292,95,114.32704402515726,138.27712483029686,1292,87,1286.3880445795328,74.60768507559266,1292,0,2.323144104803493,12.147060591561022,204,0,16.81645569620254,30.69945508916908,204,0,2.530425963488844,12.485345205260169,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.YouTube,Media,0,6,rr7---sn-gwpa-jwce.googlevideo.com,0ac8019a145c936f797ade5a31083a4d,,,,1
10,0,2409:4072:8e98:ca18:6c22:471c:5a49:469b,34:6f:24:1a:a7:41,34:6f:24,60794,2404:6800:4007:827::2016,06:b7:2d:d4:46:ec,06:b7:2d,443,17,6,0,0,1675327569050,1675327572009,2959,313,307503,1675327569050,1675327572009,2959,75,9345,1675327569181,1675327571986,2805,238,298158,87,982.4376996805112,520.6547623165437,1292,95,124.59999999999998,164.89185645241648,1292,87,1252.764705882353,205.2241218367578,1292,0,9.483974358974352,111.11290164859815,1930,0,39.98648648648649,247.7743943586885,2119,0,11.83544303797469,140.44093067782833,2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QUIC.YouTube,Media,0,6,i.ytimg.com,bf55cef5554fba20a667b52ddd56b2d8,,,,1
0,0,2405:200:1630:b0b::c,06:b7:2d:d4:46:ec,06:b7:2d,443,2409:4072:8e98:ca18:6c22:471c:5a49:469b,34:6f:24:1a:a7:41,34:6f:24,57636,17,6,0,0,1675327658971,1675327684957,25986,9611,11224793,1675327658971,1675327684939,25968,8638,11120969,1675327658972,1675327684957,25985,973,103824,88,1167.9110394339837,363.9800750025005,1292,88,1287.4472100023168,70.95051365695554,1292,95,106.705035971223,103.88208704869346,1107,0,2.7040582726326825,95.57525540374688,7430,0,3.0065995137200443,105.67498950609348,7708,0,26.733539094650205,302.94603596537166,7523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,1
0,0,180.149.60.13,00:08:e3:ff:fd:90,00:08:e3,443,10.1.236.123,34:6f:24:1a:a7:41,34:6f:24,54321,17,4,0,0,1675176330283,1675176366281,35998,2914,3395592,1675176330283,1675176366280,35997,2626,3365439,1675176330283,1675176366281,35998,288,30153,68,1165.268359643101,369.656586320437,1292,68,1281.5837776085357,109.43167134300845,1292,75,104.6979166666667,157.74513823493763,1056,0,12.357706831445244,346.6680962821716,14279,0,13.713142857142833,380.1099553072682,14311,0,125.42857142857127,1101.5813970949102,14311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,1
2,0,2409:4072:8e98:ca18:6c22:471c:5a49:469b,34:6f:24:1a:a7:41,34:6f:24,53279,2405:200:1630:b0b::d,06:b7:2d:d4:46:ec,06:b7:2d,443,17,6,0,0,1675327858414,1675327869541,11127,4168,4863112,1675327858414,1675327869501,11087,421,43253,1675327858567,1675327869541,10974,3747,4819859,88,1166.7735124760052,365.82892392873975,1292,95,102.73871733966742,83.75223179552779,1124,88,1286.3247931678677,80.92047160451371,1292,0,2.670266378689704,107.19012875649273,6902,0,26.39761904761904,339.64152307218694,6954,0,2.9295248264815745,117.2918073124942,7166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,1
0,0,2409:4072:8e98:ca18:6c22:471c:5a49:469b,34:6f:24:1a:a7:41,34:6f:24,53279,2405:200:1630:b0b::d,06:b7:2d:d4:46:ec,06:b7:2d,443,17,6,0,0,1675327985258,1675328008295,23037,11593,13536031,1675327985258,1675328008245,22987,1178,123895,1675327985514,1675328008295,22781,10415,13412136,88,1167.603812645565,364.4193007878485,1292,95,105.17402376910005,87.99323815995963,1137,88,1287.7710993758994,69.4643269010922,1292,0,1.9873188405796984,108.63769209576158,11599,0,19.53016142735768,341.4764725056307,11627,0,2.1875360092183582,116.28630623170896,11761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,1
2,0,2409:4072:8e98:ca18:6c22:471c:5a49:469b,34:6f:24:1a:a7:41,34:6f:24,58064,2405:200:1630:b0b::f,06:b7:2d:d4:46:ec,06:b7:2d,443,17,6,0,0,1675328095314,1675328119363,24049,4280,4977304,1675328095314,1675328119078,23764,437,47923,1675328095503,1675328119363,23860,3843,4929381,88,1162.9214953271037,370.3823203722295,1292,95,109.66361556064076,117.3125046273568,1138,88,1282.690866510536,103.41943018442235,1292,0,5.620238373451741,180.5403115310848,9283,0,54.50458715596329,569.8072006880233,9440,0,6.210307131702236,195.65023869135388,9418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown,Unspecified,0,0,,,,,,1
36,0,10.1.23.124,38:22:e2:15:1d:06,38:22:e2,60031,180.149.60.56,00:08:e3:ff:fd:90,00:08:e3,443,6,4,0,0,1672912858517,1672912882361,23844,6138,7131528,1672912858517,1672912882361,23844,1330,84536,1672912858545,1672912882361,23816,4808,7046992,54,1161.8651026392972,582.4726014861069,1470,54,63.5609022556392,89.60996316290193,1470,60,1465.6805324459235,69.64517533048829,1470,0,3.885285970343816,155.9573806203734,9462,0,17.941309255079023,334.85918797260143,9462,0,4.954441439567315,177.4874152388848,9490,0,0,0,0,6138,760,0,0,0,0,0,0,1330,10,0,0,0,0,0,0,4808,750,0,0,TLS,Web,0,6,,,,,,1
13,0,10.1.23.124,38:22:e2:15:1d:06,38:22:e2,60051,180.149.60.56,00:08:e3:ff:fd:90,00:08:e3,443,6,4,0,0,1672912992799,1672913018385,25586,4334,5035772,1672912992799,1672913018385,25586,926,57443,1672912992827,1672913018385,25558,3408,4978329,54,1161.9224734656166,581.8432705598208,1470,54,62.03347732181426,95.6142246694413,1470,60,1460.7772887323968,99.64365915082698,1470,0,5.9049157627509805,249.21963748202083,14760,0,27.66054054054051,539.0651052265091,14760,0,7.501614323451709,282.44610881848985,14832,0,0,0,0,4334,533,0,0,0,0,0,0,926,8,0,0,0,0,0,0,3408,525,0,0,TLS,Web,0,6,,,,,,1
