src2dst_mean_piat_ms,dst2src_mean_piat_ms,src2dst_mean_ps,dst2src_mean_ps,src2dst_stddev_piat_ms,dst2src_stddev_piat_ms,src2dst_stddev_ps,dst2src_stddev_ps,src2dst_packets,dst2src_packets,src2dst_bytes,dst2src_bytes,src_port,dst_port,protocol,stream_type
64.27004219409274,8.617336755061334,97.3326315789474,1258.789908779938,216.33575147676635,82.11880848360538,137.1569325404446,195.27793077781595,475.0,3508.0,46233.0,4415835.0,56116.0,443.0,17.0,0.0
9.75476839237058,64.85175202156331,1236.5922178988317,112.33602150537637,73.0895609443446,177.8367368969791,250.0850821700501,175.24883346706835,2570.0,372.0,3178042.0,41789.0,443.0,54888.0,17.0,0.0
6.110091743119271,41.29702970297031,1262.666230366492,101.13725490196084,52.13480346820864,116.026940367697,184.5459018604961,148.56595289872664,764.0,102.0,964677.0,10316.0,443.0,55361.0,17.0,0.0
52.78787878787877,7.453395061728401,103.70842332613388,1260.7975933353916,157.52390730043396,68.08071178136801,155.47697618521912,189.31500075990985,463.0,3241.0,48017.0,4086245.0,49771.0,443.0,17.0,0.0
60.29853862212939,7.783885745082191,97.25416666666676,1259.801993534483,193.27225312059608,72.31114388542207,137.5813366693377,190.40436446222705,480.0,3712.0,46682.0,4676385.0,58580.0,443.0,17.0,0.0
70.89999999999998,12.379870129870158,140.3416370106763,1220.3913043478278,143.79803638720935,77.87649865150796,235.4647623231172,279.7787333565977,281.0,1541.0,39436.0,1880623.0,59181.0,443.0,17.0,0.0
67.9210526315789,8.980331662167384,100.7026239067056,1248.30570547417,207.4005493819452,78.16444065404887,146.99271640902998,221.5362626900597,343.0,2594.0,34541.0,3238105.0,62445.0,443.0,17.0,0.0
30.709807886754284,170.62359550561797,1209.1707070707064,130.91620111731837,195.08543678763664,438.45727092061946,299.1326730185866,176.9196755309646,990.0,179.0,1197079.0,23434.0,443.0,49369.0,17.0,0.0
22.674790555978657,4.562816382880805,116.70015220700152,1132.2354294478537,17.802613014894224,12.166559299463415,138.15501150827322,336.63141863686457,1314.0,6520.0,153344.0,7382175.0,49665.0,443.0,17.0,0.0
23.874159462055704,11.828095238095235,73.6410748560461,1435.212279866732,318.9345340874009,227.2150603094667,152.62999455306348,186.95907793033652,1042.0,2101.0,76734.0,3015381.0,58847.0,443.0,6.0,0.0
23.924778761061926,45.00333333333335,1422.7179487179476,86.07154742096499,306.0060475823122,415.7385888744929,246.6287149371312,182.09513046509923,1131.0,601.0,1609094.0,51729.0,443.0,59080.0,6.0,0.0
10.990163934426256,24.152922337870287,1450.9668608885688,62.51039999999995,215.4339142397835,322.07193538706395,121.45058884845317,99.4264430919096,2746.0,1250.0,3984355.0,78138.0,443.0,59248.0,6.0,0.0
12.52446861097382,25.84081632653063,1447.2435770750983,64.52293577981655,235.8966882904287,338.1425939723844,137.60476064260513,111.71492845058508,2024.0,981.0,2929221.0,63297.0,443.0,59291.0,6.0,0.0
25.76891615541923,10.931453362255963,73.29724208375892,1440.074154379876,323.5850954493758,210.39458750665804,150.79065819787402,167.86331119379906,979.0,2306.0,71758.0,3320811.0,59439.0,443.0,6.0,0.0
17.65694444444447,34.68989071038254,1428.3920888272023,82.05184174624824,276.1026847316444,389.3586796290158,233.8226795354712,182.32890786185044,1441.0,733.0,2058313.0,60144.0,443.0,59493.0,6.0,0.0
6.930263866451258,13.198665297741252,1447.7566621803528,74.26885582349945,162.70818807803863,226.25968794183063,150.5157817127195,102.66563998858206,3715.0,1949.0,5378416.0,144750.0,443.0,59564.0,6.0,0.0
23.402029664324743,47.08962264150946,1261.3135725429015,76.48665620094188,138.04186965238935,195.71008564819635,425.3905088808763,160.22188396575936,1282.0,637.0,1617004.0,48722.0,443.0,59629.0,6.0,0.0
16.03126879134096,34.533073929961084,1445.1382211538476,69.86269430051811,340.2382406395782,497.9891694261368,179.2260205764622,136.65799589208,1664.0,772.0,2404710.0,53934.0,443.0,59703.0,6.0,0.0
9.068126520681265,18.05467128027677,1452.9117442668546,64.45712309820186,184.3432339478861,260.2894493145924,149.48100875633858,112.88655799920572,2878.0,1446.0,4181480.0,93205.0,443.0,59771.0,6.0,0.0
30.121621621621586,16.01356743814842,89.15292353823088,1427.4681020733633,359.53259370718763,260.6599463731504,173.407530904725,229.8588661401656,667.0,1254.0,59465.0,1790045.0,59847.0,443.0,6.0,0.0
15.09004174120454,29.217341040462426,1432.2687723480333,75.70207852193982,258.529383948855,361.990109370786,214.3349934931327,160.8995850153209,1678.0,866.0,2403347.0,65558.0,443.0,59894.0,6.0,0.0
